Year,2015,,,,,,,,,
,,,,,,,,,,
Row Labels,Sum of Dry_Grocery,Sum of Dairy,Sum of Frozen_Food,Sum of Meat,Sum of Produce,Sum of Floral,Sum of Deli,Sum of Bakery,Sum of General_Merchandise,Totals
S0001,"$10,845,787.65","$2,423,389.38","$1,814,872.88","$2,531,382.34","$2,284,388.70","$159,142.23","$1,023,812.90","$835,599.06","$1,590,570.68","$23,508,945.82"
S0002,"$7,931,072.94","$1,844,188.83","$1,366,677.52","$1,991,807.66","$1,755,293.15","$128,935.92","$689,786.42","$514,864.68","$1,111,992.45","$17,334,619.57"
S0003,"$12,741,875.44","$3,095,321.58","$2,087,437.15","$3,468,989.12","$3,792,143.03","$291,259.69","$1,262,874.27","$1,091,930.44","$2,408,831.27","$30,240,661.99"
S0004,"$12,688,533.89","$2,710,746.38","$2,240,847.44","$3,565,375.84","$2,802,811.88","$170,822.64","$1,166,388.77","$962,155.82","$1,606,208.31","$27,913,890.97"
S0005,"$12,248,085.57","$2,957,003.74","$2,402,445.89","$2,834,435.52","$3,648,309.02","$247,017.36","$984,736.25","$629,055.94","$1,874,796.88","$27,825,886.17"
S0006,"$15,921,985.74","$3,414,385.76","$2,577,624.88","$3,702,008.49","$3,524,245.59","$286,180.46","$1,603,464.11","$1,226,324.72","$2,369,201.12","$34,625,420.87"
S0007,"$13,644,163.44","$3,152,200.12","$2,752,056.93","$3,553,409.00","$3,192,688.95","$241,915.18","$1,428,888.69","$931,336.01","$1,966,428.99","$30,863,087.31"
S0008,"$12,503,176.41","$3,173,008.04","$2,343,931.30","$3,118,893.04","$3,609,692.16","$229,334.44","$951,990.47","$653,608.20","$2,598,245.71","$29,181,879.77"
S0009,"$17,990,212.13","$4,083,162.02","$3,134,343.14","$4,837,013.88","$4,210,541.86","$296,476.20","$1,798,155.15","$1,047,732.42","$3,280,983.51","$40,678,620.31"
S0010,"$9,364,058.90","$2,495,117.23","$1,743,731.40","$2,325,539.02","$2,639,823.51","$225,352.37","$805,192.95","$825,864.13","$1,279,248.61","$21,703,928.12"
S0011,"$10,163,008.45","$2,104,841.34","$1,609,834.78","$2,719,787.70","$2,205,228.62","$176,845.10","$1,091,045.18","$726,534.57","$1,598,547.88","$22,395,673.62"
S0012,"$22,920,867.60","$4,784,134.92","$3,657,381.26","$5,626,478.83","$4,639,016.01","$335,699.97","$2,216,645.21","$914,460.49","$4,091,856.84","$49,186,541.13"
S0013,"$17,451,783.56","$3,553,516.21","$2,951,489.37","$4,467,174.88","$3,629,467.14","$309,895.27","$1,812,614.94","$1,342,741.95","$3,650,467.09","$39,169,150.41"
S0014,"$13,770,222.43","$3,029,633.62","$2,391,810.25","$3,058,413.55","$3,311,035.35","$330,321.91","$1,082,305.37","$636,768.63","$3,377,451.51","$30,987,962.62"
S0015,"$16,733,288.07","$3,689,264.26","$2,908,692.42","$3,735,002.13","$3,921,200.02","$287,081.34","$1,306,527.72","$937,785.14","$3,834,916.56","$37,353,757.66"
S0016,"$11,144,879.86","$2,135,270.92","$1,823,002.86","$2,570,843.14","$2,065,999.38","$145,993.89","$1,075,451.66","$670,693.26","$1,720,661.82","$23,352,796.79"
S0017,"$13,818,627.34","$3,158,295.28","$2,484,711.41","$3,081,529.14","$4,215,854.25","$422,332.61","$1,288,667.35","$890,682.47","$2,180,252.80","$31,540,952.65"
S0018,"$10,994,579.22","$2,399,399.79","$1,918,423.17","$2,575,042.16","$2,646,907.99","$226,217.15","$1,044,561.79","$848,925.03","$1,624,673.09","$24,278,729.39"
S0019,"$9,500,819.34","$1,918,345.51","$1,532,868.24","$2,197,008.49","$1,865,858.21","$113,276.66","$638,836.56","$385,628.70","$1,529,502.66","$19,682,144.37"
S0020,"$10,997,288.18","$2,568,277.53","$1,866,647.95","$2,600,090.68","$2,615,310.00","$201,233.89","$914,548.27","$705,612.78","$1,501,802.12","$23,970,811.40"
S0021,"$9,410,854.65","$2,656,706.22","$1,879,698.39","$1,874,153.33","$3,217,947.64","$194,611.01","$795,313.46","$612,390.49","$1,100,774.09","$21,742,449.28"
S0022,"$13,404,375.38","$2,752,887.18","$2,163,727.82","$3,022,688.81","$2,625,382.14","$246,755.04","$1,229,095.06","$970,143.13","$2,074,377.15","$28,489,431.71"
S0023,"$7,723,456.23","$1,921,840.10","$1,491,504.46","$1,938,579.85","$1,893,525.06","$167,752.48","$678,086.29","$640,114.98","$1,233,253.09","$17,688,112.54"
S0024,"$11,160,900.76","$2,550,573.86","$2,014,391.25","$2,570,942.73","$2,709,800.59","$132,218.66","$1,008,674.17","$562,929.26","$1,813,070.15","$24,523,501.43"
S0025,"$14,470,649.14","$3,278,235.63","$2,493,889.08","$3,286,736.53","$3,498,500.30","$166,116.52","$1,324,244.75","$961,693.58","$1,838,856.38","$31,318,921.91"
S0026,"$9,711,806.15","$2,236,359.26","$1,664,161.72","$2,119,542.42","$2,411,984.05","$176,843.89","$799,105.96","$648,571.84","$1,451,771.86","$21,220,147.15"
S0027,"$11,859,562.08","$2,762,018.81","$2,061,424.43","$2,638,827.83","$3,511,115.94","$431,558.24","$789,146.71","$620,490.05","$1,876,040.56","$26,550,184.65"
S0028,"$7,841,593.17","$1,787,154.37","$1,366,909.87","$2,062,508.92","$2,017,244.48","$61,139.83","$645,670.38","$521,856.64","$1,007,023.92","$17,311,101.58"
S0029,"$14,829,406.83","$3,341,340.32","$2,451,973.11","$4,420,784.46","$3,333,528.94","$209,019.35","$1,440,562.53","$598,927.39","$2,981,115.45","$33,606,658.38"
S0030,"$11,232,100.21","$2,789,061.75","$1,805,115.79","$2,839,990.86","$2,965,450.25","$211,755.18","$1,225,710.44","$779,454.60","$1,648,698.92","$25,497,338.00"
S0031,"$13,344,842.36","$3,014,887.33","$2,274,456.12","$3,304,425.47","$2,575,738.86","$184,062.48","$1,133,312.67","$595,091.29","$2,842,620.56","$29,269,437.14"
S0032,"$10,839,766.57","$2,277,093.41","$1,769,568.50","$2,797,084.07","$2,331,785.09","$157,300.51","$966,854.67","$567,271.16","$2,458,833.29","$24,165,557.27"
S0033,"$14,465,006.19","$3,356,605.45","$2,631,936.70","$3,916,347.08","$3,730,920.43","$296,740.91","$1,345,068.95","$923,256.25","$2,294,605.79","$32,960,487.75"
S0034,"$13,566,943.93","$3,218,941.92","$2,562,510.40","$3,402,503.03","$3,561,114.71","$362,451.26","$1,372,806.13","$902,119.10","$2,100,665.64","$31,050,056.12"
S0035,"$8,525,732.59","$1,856,416.79","$1,448,285.37","$2,243,507.61","$1,615,522.50","$132,984.09","$742,343.57","$537,480.27","$1,262,948.38","$18,365,221.17"
S0036,"$8,814,761.20","$1,687,871.64","$1,432,261.65","$1,795,257.75","$1,748,605.79","$103,705.82","$545,124.18","$283,134.94","$1,416,381.48","$17,827,104.45"
S0037,"$13,507,345.36","$3,060,559.90","$2,410,415.17","$3,383,050.92","$3,562,066.35","$256,331.63","$1,246,123.74","$635,399.37","$3,225,658.13","$31,286,950.57"
S0038,"$9,122,829.82","$2,227,430.86","$1,714,191.72","$2,453,893.95","$2,171,273.05","$155,092.65","$782,759.50","$593,747.63","$1,411,229.41","$20,632,448.59"
S0039,"$9,669,474.43","$2,328,789.52","$1,581,216.99","$2,939,723.13","$1,579,637.47","$147,463.34","$758,905.04","$1,010,486.17","$1,345,626.92","$21,361,323.01"
S0040,"$16,073,815.58","$3,677,680.76","$2,788,687.32","$4,769,599.23","$4,543,001.51","$299,539.75","$1,464,123.59","$700,204.90","$2,709,070.05","$37,025,722.69"
S0041,"$11,674,107.53","$2,674,726.45","$2,087,500.74","$2,595,859.27","$2,402,327.77","$172,803.28","$1,261,126.41","$705,443.21","$1,693,623.67","$25,267,518.33"
S0042,"$18,881,880.24","$4,006,812.63","$3,217,344.18","$4,719,220.80","$3,843,105.62","$238,829.76","$1,884,916.50","$1,159,185.22","$2,410,507.99","$40,361,802.94"
S0043,"$12,162,194.78","$2,791,583.60","$2,218,720.20","$2,890,792.80","$3,136,766.86","$231,556.75","$1,021,871.91","$690,136.36","$2,014,870.32","$27,158,493.58"
S0044,"$15,772,314.51","$3,562,553.91","$2,715,622.41","$4,481,645.11","$3,735,116.20","$201,122.97","$1,456,372.17","$1,316,636.75","$2,290,881.67","$35,532,265.70"
S0045,"$18,821,234.56","$4,354,423.40","$3,546,379.18","$3,883,710.16","$4,446,110.80","$394,119.27","$1,637,901.97","$952,974.54","$4,267,237.08","$42,304,090.96"
S0046,"$17,883,061.14","$4,373,298.18","$3,320,714.19","$4,574,109.64","$5,002,506.61","$443,995.32","$1,607,814.64","$1,209,799.41","$3,893,486.60","$42,308,785.73"
S0047,"$20,130,418.28","$4,359,082.65","$3,644,785.09","$4,807,596.71","$4,593,568.85","$380,905.05","$1,727,800.92","$936,433.17","$4,516,050.58","$45,096,641.30"
S0048,"$15,351,829.53","$3,431,379.41","$2,843,183.47","$3,562,316.55","$3,440,749.53","$331,411.22","$1,338,514.34","$924,731.52","$3,560,088.01","$34,784,203.58"
S0049,"$10,022,010.28","$2,424,017.45","$2,025,935.33","$2,122,030.11","$2,510,813.07","$231,099.48","$940,397.14","$698,494.12","$1,523,808.91","$22,498,605.89"
S0050,"$18,904,924.18","$4,604,837.64","$3,654,389.92","$4,286,193.57","$6,382,729.42","$654,293.36","$1,635,272.62","$921,487.02","$2,895,084.11","$43,939,211.84"
S0051,"$14,858,870.69","$3,404,191.04","$2,738,386.27","$2,877,653.86","$3,917,645.91","$271,433.73","$1,250,997.70","$1,026,703.85","$2,015,389.09","$32,361,272.14"
S0052,"$19,906,352.86","$4,440,704.91","$3,420,423.44","$5,136,574.65","$6,637,175.18","$734,241.05","$1,987,478.38","$1,153,010.85","$3,571,911.99","$46,987,873.31"
S0053,"$14,581,530.55","$3,130,532.88","$2,313,704.13","$3,715,695.89","$2,745,412.25","$201,233.77","$1,447,634.62","$860,645.19","$1,901,166.71","$30,897,555.99"
S0054,"$17,026,101.04","$3,989,612.16","$3,149,861.69","$4,164,490.16","$4,386,911.15","$309,659.41","$1,673,337.82","$1,146,805.78","$2,423,532.20","$38,270,311.41"
S0055,"$19,088,095.08","$3,736,021.51","$3,173,059.07","$3,847,038.75","$4,400,262.02","$225,703.13","$1,465,620.42","$639,279.85","$2,427,596.17","$39,002,676.00"
S0056,"$10,391,159.07","$2,549,257.22","$1,884,567.75","$1,907,090.37","$2,572,158.37","$176,842.67","$592,394.16","$490,284.11","$1,248,561.77","$21,812,315.49"
S0057,"$14,653,637.31","$3,251,575.40","$2,519,485.10","$4,931,545.65","$3,587,804.57","$196,213.47","$1,656,800.49","$592,246.87","$2,057,046.97","$33,446,355.83"
